ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Ademhaling,NL-CM:12.5.1,Ademhaling,,oranje: minor change,NL-CM:12.5.1,Ademhaling,,ZIB-924,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefintionCode [blank] -> [422834003 Evaluatie van ademhaling],Medium,SCT DefintionCode [422834003 Evaluatie van ademhaling] -> [blank]
Ademhaling,NL-CM:12.5.2,Ademfrequentie,,groen: geen wijzigingen,NL-CM:12.5.2,Ademfrequentie,,,,,,,,
Ademhaling,NL-CM:12.5.3,Toelichting,,groen: geen wijzigingen,NL-CM:12.5.3,Toelichting,,,,,,,,
Ademhaling,NL-CM:10.1.3,ProductType,,groen: geen wijzigingen,NL-CM:10.1.3,ProductType,,,,,,,,
Ademhaling,NL-CM:12.5.4,AdemhalingDatumTijd,,groen: geen wijzigingen,NL-CM:12.5.4,AdemhalingDatumTijd,,,,,,,,
Ademhaling,NL-CM:12.5.5,Ritme,RitmeCodelijst,groen: geen wijzigingen,NL-CM:12.5.5,Ritme,RitmeCodelijst,,,,,,,
Ademhaling,NL-CM:12.5.6,Diepte,DiepteCodelijst,groen: geen wijzigingen,NL-CM:12.5.6,Diepte,DiepteCodelijst,,,,,,,
Ademhaling,NL-CM:12.5.7,AfwijkendAdemhalingspatroon,AfwijkendAdemhalingspatroonCodelijst,groen: geen wijzigingen,NL-CM:12.5.7,AfwijkendAdemhalingspatroon,AfwijkendAdemhalingspatroonCodelijst,,,,,,,
Ademhaling,NL-CM:12.5.8,ToegediendeZuurstof,,groen: geen wijzigingen,NL-CM:12.5.8,ToegediendeZuurstof,,,,,,,,
Ademhaling,NL-CM:12.5.9,FiO2,,groen: geen wijzigingen,NL-CM:12.5.9,FiO2,,,,,,,,
Ademhaling,NL-CM:12.5.10,FlowRate,,groen: geen wijzigingen,NL-CM:12.5.10,FlowRate,,,,,,,,
Ademhaling,NL-CM:12.5.12,ExtraZuurstofToediening,,oranje: minor change,NL-CM:12.5.12,ExtraZuurstofToediening,,ZIB-924,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefintionCode [blank] -> [16206004 Zuurstoftoevoer],Medium,SCT DefintionCode [16206004 Zuurstoftoevoer] -> [blank] 
Ademhaling,NL-CM:12.5.13,ToedieningHulpmiddel::MedischHulpmiddel,ToedieningHulpmiddelCodelijst,groen: geen wijzigingen,NL-CM:12.5.13,ToedieningHulpmiddel::MedischHulpmiddel,ToedieningHulpmiddelCodelijst,,,,,,,
Adresgegevens,NL-CM:20.5.1,Adresgegevens,,groen: geen wijzigingen,NL-CM:20.5.1,Adresgegevens,,,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.2,Straat,,groen: geen wijzigingen,NL-CM:20.5.2,Straat,,,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.3,Woonplaats,,groen: geen wijzigingen,NL-CM:20.5.3,Woonplaats,,,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.4,Gemeente,,groen: geen wijzigingen,NL-CM:20.5.4,Gemeente,,,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.5,Land,"LandGBACodelijst
LandISOCodelijst",groen: geen wijzigingen,NL-CM:20.5.5,Land,"LandGBACodelijst
LandISOCodelijst",,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.6,Postcode,,groen: geen wijzigingen,NL-CM:20.5.6,Postcode,,,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.7,AdditioneleInformatie,,groen: geen wijzigingen,NL-CM:20.5.7,AdditioneleInformatie,,,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.8,AdresSoort,AdresSoortCodelijst,oranje: minor change,NL-CM:20.5.8,AdresSoort,AdresSoortCodelijst,ZIB-959,kardinatliteit van 1 naar 0..1,CARDINALITY CHANGE,Low,ONE TO ZERO-TO-ONE,Medium,ZERO-TO-ONE TO ONE
Adresgegevens,NL-CM:20.5.8,AdresSoort,AdresSoortCodelijst,oranje: minor change,NL-CM:20.5.8,AdresSoort,AdresSoortCodelijst,ZIB-900,"Typo in engelse tekst in waarde binnen AdresTypeCodelijst aangepast. ""Tempory address"" moet zijn ""Temporary address""",VALUESET CHANGES,Low,,Low,
Adresgegevens,NL-CM:20.5.9,AanduidingBijNummer,,groen: geen wijzigingen,NL-CM:20.5.9,AanduidingBijNummer,,,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.10,Huisnummertoevoeging,AanduidingBijNummerCodelijst,groen: geen wijzigingen,NL-CM:20.5.10,Huisnummertoevoeging,AanduidingBijNummerCodelijst,,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.11,Huisnummerletter,,groen: geen wijzigingen,NL-CM:20.5.11,Huisnummerletter,,,,NO CHANGE,,,,
Adresgegevens,NL-CM:20.5.12,Huisnummer,,groen: geen wijzigingen,NL-CM:20.5.12,Huisnummer,,,,NO CHANGE,,,,
AlcoholGebruik,NL-CM:7.3.1,AlcoholGebruik,,groen: geen wijzigingen,NL-CM:7.3.1,AlcoholGebruik,,,,NO CHANGE,,,,
