ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Ademhaling,NL-CM:12.5.1,Ademhaling,,oranje: minor change,NL-CM:12.5.1,Ademhaling,,ZIB-924,SNOMED CT DefinitionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [422834003 Evaluatie van ademhaling],Medium,SCT DefinitionCode [422834003 Evaluatie van ademhaling] -> [blank]
Ademhaling,NL-CM:12.5.2,Ademfrequentie,,groen: geen wijzigingen,NL-CM:12.5.2,Ademfrequentie,,,,,,,,
Ademhaling,NL-CM:12.5.3,Toelichting,,groen: geen wijzigingen,NL-CM:12.5.3,Toelichting,,,,,,,,
Ademhaling,NL-CM:10.1.3,ProductType,,groen: geen wijzigingen,NL-CM:10.1.3,ProductType,,,,,,,,
Ademhaling,NL-CM:12.5.4,AdemhalingDatumTijd,,groen: geen wijzigingen,NL-CM:12.5.4,AdemhalingDatumTijd,,,,,,,,
Ademhaling,NL-CM:12.5.5,Ritme,RitmeCodelijst,groen: geen wijzigingen,NL-CM:12.5.5,Ritme,RitmeCodelijst,,,,,,,
Ademhaling,NL-CM:12.5.6,Diepte,DiepteCodelijst,groen: geen wijzigingen,NL-CM:12.5.6,Diepte,DiepteCodelijst,,,,,,,
Ademhaling,NL-CM:12.5.7,AfwijkendAdemhalingspatroon,AfwijkendAdemhalingspatroonCodelijst,groen: geen wijzigingen,NL-CM:12.5.7,AfwijkendAdemhalingspatroon,AfwijkendAdemhalingspatroonCodelijst,,,,,,,
Ademhaling,NL-CM:12.5.8,ToegediendeZuurstof,,groen: geen wijzigingen,NL-CM:12.5.8,ToegediendeZuurstof,,,,,,,,
Ademhaling,NL-CM:12.5.9,FiO2,,groen: geen wijzigingen,NL-CM:12.5.9,FiO2,,,,,,,,
Ademhaling,NL-CM:12.5.10,FlowRate,,groen: geen wijzigingen,NL-CM:12.5.10,FlowRate,,,,,,,,
Ademhaling,NL-CM:12.5.12,ExtraZuurstofToediening,,oranje: minor change,NL-CM:12.5.12,ExtraZuurstofToediening,,ZIB-924,SNOMED CT DefinitionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [16206004 Zuurstoftoevoer],Medium,SCT DefinitionCode [16206004 Zuurstoftoevoer] -> [blank] 
Ademhaling,NL-CM:12.5.13,ToedieningHulpmiddel::MedischHulpmiddel,ToedieningHulpmiddelCodelijst,groen: geen wijzigingen,NL-CM:12.5.13,ToedieningHulpmiddel::MedischHulpmiddel,ToedieningHulpmiddelCodelijst,,,,,,,
