ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
AllergieIntolerantie,NL-CM:8.2.1,AllergieIntolerantie,,groen: geen wijzigingen,NL-CM:8.2.1,AllergieIntolerantie,,,,,,,,
AllergieIntolerantie,NL-CM:8.2.2,VeroorzakendeStof,"VeroorzakendeStofAllergeneStoffenCodelijst
VeroorzakendeStofHPKCodelijst
VeroorzakendeStofSNKCodelijst
VeroorzakendeStofSSKCodelijst
VeroorzakendeStofThesaurus122Codelijst",oranje: minor change,NL-CM:8.2.2,VeroorzakendeStof,VeroorzakendeStofAllergeneStoffenCodelijst ; VeroorzakendeStofHPKCodelijst ; VeroorzakendeStofSNKCodelijst ; VeroorzakendeStofSSKCodelijst ; VeroorzakendeStofThesaurus122Codelijst,ZIB-1369,In de bij het concept  wordt verwezen naar een vervallen referentieset: 42931000146101. Deze is  vervangen door: 98061000146100.,VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
AllergieIntolerantie,NL-CM:8.2.4,AllergieCategorie,AllergieCategorieCodelijst,groen: geen wijzigingen,NL-CM:8.2.4,AllergieCategorie,AllergieCategorieCodelijst,,,,,,,
AllergieIntolerantie,NL-CM:8.2.5,AllergieStatus,AllergieStatusCodelijst,groen: geen wijzigingen,NL-CM:8.2.5,AllergieStatus,AllergieStatusCodelijst,,,,,,,
AllergieIntolerantie,NL-CM:8.2.6,BeginDatumTijd,,groen: geen wijzigingen,NL-CM:8.2.6,BeginDatumTijd,,,,,,,,
AllergieIntolerantie,NL-CM:8.2.7,MateVanKritiekZijn,MateVanKritiekZijnCodelijst,groen: geen wijzigingen,NL-CM:8.2.7,MateVanKritiekZijn,MateVanKritiekZijnCodelijst,,,,,,,
AllergieIntolerantie,NL-CM:8.2.8,LaatsteReactieDatumTijd,,groen: geen wijzigingen,NL-CM:8.2.8,LaatsteReactieDatumTijd,,,,,,,,
AllergieIntolerantie,NL-CM:8.2.9,Toelichting,,groen: geen wijzigingen,NL-CM:8.2.9,Toelichting,,,,,,,,
AllergieIntolerantie,NL-CM:8.2.10,Reactie,,groen: geen wijzigingen,NL-CM:8.2.10,Reactie,,,,,,,,
AllergieIntolerantie,NL-CM:8.2.11,Symptoom,SymptoomCodelijst,oranje: minor change,NL-CM:8.2.11,Symptoom,SymptoomCodelijst,ZIB-732,SNOMED CT code bij item in valueset vervangen,VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
AllergieIntolerantie,NL-CM:8.2.12,SpecifiekeStof,"SpecifiekeStofAllergeneStoffenCodelijst
SpecifiekeStofHPKCodelijst
SpecifiekeStofSNKCodelijst
SpecifiekeStofSSKCodelijst
SpecifiekeStofThesaurus122Codelijst",oranje: minor change,NL-CM:8.2.12,SpecifiekeStof,SpecifiekeStofAllergeneStoffenCodelijst ; SpecifiekeStofHPKCodelijst ; SpecifiekeStofSNKCodelijst ; SpecifiekeStofSSKCodelijst ; SpecifiekeStofThesaurus122Codelijst,ZIB-1856,In de bij het concept  wordt verwezen naar een vervallen referentieset: 42931000146101. Deze is  vervangen door: 98061000146100.,VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
AllergieIntolerantie,NL-CM:8.2.13,ReactieBeschrijving,,groen: geen wijzigingen,NL-CM:8.2.13,ReactieBeschrijving,,,,,,,,
AllergieIntolerantie,NL-CM:8.2.14,Ernst,ErnstCodelijst,groen: geen wijzigingen,NL-CM:8.2.14,Ernst,ErnstCodelijst,,,,,,,
AllergieIntolerantie,NL-CM:8.2.15,WijzeVanBlootstelling,WijzeVanBlootstellingCodelijst,groen: geen wijzigingen,NL-CM:8.2.15,WijzeVanBlootstelling,WijzeVanBlootstellingCodelijst,,,,,,,
AllergieIntolerantie,NL-CM:8.2.17,ReactieTijdstip,,groen: geen wijzigingen,NL-CM:8.2.17,ReactieTijdstip,,,,,,,,
