ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
BarthelIndex,NL-CM:4.2.1,BarthelIndex,,groen: geen wijzigingen,NL-CM:4.2.1,BarthelIndex,,,,,,,,
BarthelIndex,NL-CM:4.2.2,TotaalScore,,groen: geen wijzigingen,NL-CM:4.2.2,TotaalScore,,,,,,,,
BarthelIndex,NL-CM:4.2.3,Blaas,BlaasCodelijst,groen: geen wijzigingen,NL-CM:4.2.3,Blaas,BlaasCodelijst,,,,,,,
BarthelIndex,NL-CM:4.2.4,Darm,DarmCodelijst,groen: geen wijzigingen,NL-CM:4.2.4,Darm,DarmCodelijst,,,,,,,
BarthelIndex,NL-CM:4.2.5,UiterlijkeVerzorging,UiterlijkeVerzorgingCodelijst,groen: geen wijzigingen,NL-CM:4.2.5,UiterlijkeVerzorging,UiterlijkeVerzorgingCodelijst,,,,,,,
BarthelIndex,NL-CM:4.2.6,Toiletgebruik,ToiletgebruikCodelijst,groen: geen wijzigingen,NL-CM:4.2.6,Toiletgebruik,ToiletgebruikCodelijst,,,,,,,
BarthelIndex,NL-CM:4.2.7,Eten,EtenCodelijst,groen: geen wijzigingen,NL-CM:4.2.7,Eten,EtenCodelijst,,,,,,,
BarthelIndex,NL-CM:4.2.8,Transfers,TransfersCodelijst,groen: geen wijzigingen,NL-CM:4.2.8,Transfers,TransfersCodelijst,,,,,,,
BarthelIndex,NL-CM:4.2.9,Mobiliteit,MobiliteitCodelijst,groen: geen wijzigingen,NL-CM:4.2.9,Mobiliteit,MobiliteitCodelijst,,,,,,,
BarthelIndex,NL-CM:4.2.10,AanUitkleden,AanUitkledenCodelijst,groen: geen wijzigingen,NL-CM:4.2.10,AanUitkleden,AanUitkledenCodelijst,,,,,,,
BarthelIndex,NL-CM:4.2.11,TrappenLopen,TrappenLopenCodelijst,groen: geen wijzigingen,NL-CM:4.2.11,TrappenLopen,TrappenLopenCodelijst,,,,,,,
BarthelIndex,NL-CM:4.2.12,BadenDouchen,BadenDouchenCodelijst,groen: geen wijzigingen,NL-CM:4.2.12,BadenDouchen,BadenDouchenCodelijst,,,,,,,
