ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Bloeddruk,NL-CM:12.4.1,Bloeddruk,,oranje: minor change,NL-CM:12.4.1,Bloeddruk,,ZIB-846,SNOMED CT en LOINC DefintionCodes concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,"SCT DefintionCode  [blank] -> [46973005 Bloeddrukmeting]
LOINC DefinitionCode [55284-4 Blood pressure systolic and diastolic]->[85354-9 Blood pressure panel with all children optional]",Medium,"SCT DefintionCode  [46973005 Bloeddrukmeting] -> [blank]
LOINC DefinitionCode [85354-9 Blood pressure panel with all children optional] -> [55284-4 Blood pressure systolic and diastolic]"
Bloeddruk,NL-CM:12.4.2,SystolischeBloeddruk,,groen: geen wijzigingen,NL-CM:12.4.2,SystolischeBloeddruk,,,,,,,,
Bloeddruk,NL-CM:12.4.3,DiastolischeBloeddruk,,groen: geen wijzigingen,NL-CM:12.4.3,DiastolischeBloeddruk,,,,,,,,
Bloeddruk,NL-CM:12.4.4,GemiddeldeBloeddruk,,groen: geen wijzigingen,NL-CM:12.4.4,GemiddeldeBloeddruk,,,,,,,,
Bloeddruk,NL-CM:12.4.5,BloeddrukDatumTijd,,groen: geen wijzigingen,NL-CM:12.4.5,BloeddrukDatumTijd,,,,,,,,
Bloeddruk,NL-CM:12.4.6,Toelichting,,groen: geen wijzigingen,NL-CM:12.4.6,Toelichting,,,,,,,,
Bloeddruk,NL-CM:12.4.7,Meetmethode,MeetmethodeCodelijst,oranje: minor change,NL-CM:12.4.7,Meetmethode,MeetmethodeCodelijst,ZIB-962,2 extra items toegevoegd aan MeetmethodeCodelijst.,VALUESET CHANGES,Low,existing valueset [valuesetname] changed in [baseline 2020],Medium,existing valueset [valuesetname] changed in [baseline 2020]
Bloeddruk,NL-CM:12.4.8,DiastolischEindpunt,,groen: geen wijzigingen,NL-CM:12.4.8,DiastolischEindpunt,,,,,,,,
Bloeddruk,NL-CM:12.4.9,ManchetType,ManchetTypeCodelijst,groen: geen wijzigingen,NL-CM:12.4.9,ManchetType,ManchetTypeCodelijst,,,,,,,
Bloeddruk,NL-CM:12.4.10,MeetLocatie,MeetLocatieCodelijst,groen: geen wijzigingen,NL-CM:12.4.10,MeetLocatie,MeetLocatieCodelijst,,,,,,,
Bloeddruk,NL-CM:12.4.11,Houding,,groen: geen wijzigingen,NL-CM:12.4.11,Houding,,,,,,,,
