ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
ComfortScore,NL-CM:12.12.1,ComfortScore,,oranje: minor change,NL-CM:12.12.1,ComfortScore,,ZIB-925,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] ->108301000146109 COMFORT scale],Medium,SCT DefinitionCode [108301000146109 COMFORT scale] -> [blank]
ComfortScore,NL-CM:12.12.2,TotaalScore,,oranje: minor change,NL-CM:12.12.2,TotaalScore,,ZIB-925,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] ->48961000146108 COMFORT-score],Medium,SCT DefinitionCode [48961000146108 COMFORT-score] -> [blank]
ComfortScore,NL-CM:12.12.3,Alertheid,AlertheidCodelijst,oranje: minor change,NL-CM:12.12.3,Alertheid,AlertheidCodelijst,ZIB-925,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] ->12012003 ComfortScore Alertheid],Medium,SCT DefinitionCode [12012003 ComfortScore Alertheid] -> [blank]
ComfortScore,NL-CM:12.12.4,Kalmte_Agitatie,Kalmte_AgitatieCodelijst,oranje: minor change,NL-CM:12.12.4,Kalmte_Agitatie,Kalmte_AgitatieCodelijst,ZIB-925,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] ->12012004 ComfortScore Kalmte_Agitatie],Medium,SCT DefinitionCode [12012004 ComfortScore Kalmte_Agitatie] -> [blank]
ComfortScore,NL-CM:12.12.5,Ademhalingsreactie,AdemhalingsreactieCodelijst,oranje: minor change,NL-CM:12.12.5,Ademhalingsreactie,AdemhalingsreactieCodelijst,ZIB-925,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] ->12012005 ComfortScore Ademhalingsreactie],Medium,SCT DefinitionCode [12012005 ComfortScore Ademhalingsreactie] -> [blank]
ComfortScore,NL-CM:12.12.6,Huilen,HuilenCodelijst,oranje: minor change,NL-CM:12.12.6,Huilen,HuilenCodelijst,ZIB-925,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] ->12012006 ComfortScore Huilen],Medium,SCT DefinitionCode [12012006 ComfortScore Huilen] -> [blank]
ComfortScore,NL-CM:12.12.8,Lichaamsbeweging,LichaamsbewegingCodelijst,oranje: minor change,NL-CM:12.12.8,Lichaamsbeweging,LichaamsbewegingCodelijst,ZIB-925,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] ->12012008 ComfortScore Lichaamsbeweging],Medium,SCT DefinitionCode [12012008 ComfortScore Lichaamsbeweging] -> [blank]
ComfortScore,NL-CM:12.12.9,Gezichtsspanning,GezichtsspanningCodelijst,oranje: minor change,NL-CM:12.12.9,Gezichtsspanning,GezichtsspanningCodelijst,ZIB-925,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] ->12012009 ComfortScore Gezichtsspanning],Medium,SCT DefinitionCode [12012009 ComfortScore Gezichtsspanning] -> [blank]
ComfortScore,NL-CM:12.12.10,Spierspanning,SpierspanningCodelijst,oranje: minor change,NL-CM:12.12.10,Spierspanning,SpierspanningCodelijst,ZIB-925,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] ->12012010 ComfortScore Spierspanning],Medium,SCT DefinitionCode [12012010 ComfortScore Spierspanning] -> [blank]
ComfortScore,NL-CM:12.12.11,ScoreDatumTijd,,groen: geen wijzigingen,NL-CM:12.12.11,ScoreDatumTijd,,,,,,,,
ComfortScore,NL-CM:12.12.12,Toelichting,,groen: geen wijzigingen,NL-CM:12.12.12,Toelichting,,,,,,,,
