ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
DOSScore,NL-CM:18.7.1,DOSScore,,groen: geen wijzigingen,NL-CM:18.7.1,DOSScore,,,,,,,,
DOSScore,NL-CM:18.7.2,Toelichting,,groen: geen wijzigingen,NL-CM:18.7.2,Toelichting,,,,,,,,
DOSScore,NL-CM:18.7.3,DOSScoreTotaal,,groen: geen wijzigingen,NL-CM:18.7.3,DOSScoreTotaal,,,,,,,,
DOSScore,NL-CM:18.7.5,DOSScoreDatumTijd,,groen: geen wijzigingen,NL-CM:18.7.5,DOSScoreDatumTijd,,,,,,,,
DOSScore,NL-CM:18.7.6,ZaktWeg,,geel: patch wijziging,NL-CM:18.7.6,ZaktWeg,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.7,SnelAfgeleid,,geel: patch wijziging,NL-CM:18.7.7,SnelAfgeleid,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.8,HeeftAandacht,,geel: patch wijziging,NL-CM:18.7.8,HeeftAandacht,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.9,VraagAntwoordNietAf,,geel: patch wijziging,NL-CM:18.7.9,VraagAntwoordNietAf,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.10,AntwoordenNietPassend,,geel: patch wijziging,NL-CM:18.7.10,AntwoordenNietPassend,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.11,ReageertTraag,,geel: patch wijziging,NL-CM:18.7.11,ReageertTraag,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.12,DenktErgensAnders,,geel: patch wijziging,NL-CM:18.7.12,DenktErgensAnders,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.13,BeseftDagdeel,,geel: patch wijziging,NL-CM:18.7.13,BeseftDagdeel,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.14,HerinnertRecent,,geel: patch wijziging,NL-CM:18.7.14,HerinnertRecent,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.15,Rusteloos,,geel: patch wijziging,NL-CM:18.7.15,Rusteloos,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.16,TrektDraden,,geel: patch wijziging,NL-CM:18.7.16,TrektDraden,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.17,SnelGeemotioneerd,,geel: patch wijziging,NL-CM:18.7.17,SnelGeemotioneerd,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
DOSScore,NL-CM:18.7.18,Hallucinaties,,geel: patch wijziging,NL-CM:18.7.18,Hallucinaties,,ZIB-1977,"Tekstwijziging aan defintie concept, zodat duidelijk is dat als een score niet bekend is voor een onderdeel dit score element leeg gelaten moet worden.",SIMPLE PATCH CHANGE,Low,,Low,
