ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
DecubitusWond,NL-CM:19.1.1,DecubitusWond,,groen: geen wijzigingen,NL-CM:19.1.1,DecubitusWond,,,,,,,,
DecubitusWond,NL-CM:19.1.2,DecubitusCategorie,,groen: geen wijzigingen,NL-CM:19.1.2,DecubitusCategorie,,,,,,,,
DecubitusWond,NL-CM:19.1.3,OntstaansDatum,,groen: geen wijzigingen,NL-CM:19.1.3,OntstaansDatum,,,,,,,,
DecubitusWond,NL-CM:19.1.4,AnatomischeLocatie,DecubitusWondAnatomischeLocatieCodelijst,oranje: minor change,NL-CM:19.1.14,Locatie,LocatieCodelijst,ZIB-1116,nieuwe verwijzing naar sub-bouwsteen anatomischeLocatie,CHANGE TO SUB HCIM,Medium,source -> target,Medium,source -> target
DecubitusWond,NL-CM:19.1.5,Toelichting,,groen: geen wijzigingen,NL-CM:19.1.5,Toelichting,,,,,,,,
DecubitusWond,NL-CM:19.1.8,DatumLaatsteVerbandwissel,,groen: geen wijzigingen,NL-CM:19.1.8,DatumLaatsteVerbandwissel,,,,,,,,
DecubitusWond,NL-CM:19.1.9,Wondlengte,,groen: geen wijzigingen,NL-CM:19.1.9,Wondlengte,,,,,,,,
DecubitusWond,NL-CM:19.1.10,Wondbreedte,,groen: geen wijzigingen,NL-CM:19.1.10,Wondbreedte,,,,,,,,
DecubitusWond,NL-CM:19.1.11,Wonddiepte,,groen: geen wijzigingen,NL-CM:19.1.11,Wonddiepte,,,,,,,,
DecubitusWond,NL-CM:19.1.12,WondFoto,,groen: geen wijzigingen,NL-CM:19.1.12,WondFoto,,,,,,,,
DecubitusWond,NL-CM:19.1.13,Lateraliteit,DecubitusWondLateraliteitCodelijst,oranje: minor change,NL-CM:19.1.14,Lateraliteit,LateraliteitCodelijst,ZIB-1116,nieuwe verwijzing naar sub-bouwsteen anatomischeLocatie,CHANGE TO SUB HCIM,Medium,source -> target,Medium,source -> target
