ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Familieanamnese,NL-CM:6.1.1,Familieanamnese,,groen: geen wijzigingen,NL-CM:6.1.1,Familieanamnese,,,,,,,,
Familieanamnese,NL-CM:6.1.2,Datum,,groen: geen wijzigingen,NL-CM:6.1.2,Datum,,,,,,,,
Familieanamnese,NL-CM:6.1.3,Familielid,,groen: geen wijzigingen,NL-CM:6.1.3,Familielid,,,,,,,,
Familieanamnese,NL-CM:6.1.4,BiologischeRelatie,BiologischeRelatieCodelijst,groen: geen wijzigingen,NL-CM:6.1.4,BiologischeRelatie,BiologischeRelatieCodelijst,,,,,,,
Familieanamnese,NL-CM:6.1.5,Toelichting,,groen: geen wijzigingen,NL-CM:6.1.5,Toelichting,,,,,,,,
Familieanamnese,NL-CM:6.1.6,Aandoening,,groen: geen wijzigingen,NL-CM:6.1.6,Aandoening,,,,,,,,
Familieanamnese,NL-CM:6.1.7,Probleem,,groen: geen wijzigingen,NL-CM:6.1.7,Probleem,,,,,,,,
Familieanamnese,NL-CM:6.1.9,IsDoodsoorzaak,,groen: geen wijzigingen,NL-CM:6.1.9,IsDoodsoorzaak,,,,,,,,
Familieanamnese,NL-CM:6.1.10,OverlijdensIndicator,,groen: geen wijzigingen,NL-CM:6.1.10,OverlijdensIndicator,,,,,,,,
Familieanamnese,NL-CM:6.1.12,LeeftijdBijOverlijden,,groen: geen wijzigingen,NL-CM:6.1.12,LeeftijdBijOverlijden,,,,,,,,
