ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Gezinssituatie,NL-CM:7.13.1,Gezinssituatie,,oranje: minor change,NL-CM:7.13.1,Gezinssituatie,,ZIB-697,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [365470003 Bevinding betreffende gegevens over gezin en gezinssamenstelling],Medium,SCT DefinitionCode  [224130005 Household composition] -> [224118004 Number of offspring]
Gezinssituatie,NL-CM:7.13.2,AantalKinderen,,groen: geen wijzigingen,NL-CM:7.13.2,AantalKinderen,,,,,,,,
Gezinssituatie,NL-CM:7.13.3,Kind,,groen: geen wijzigingen,NL-CM:7.13.3,Kind,,,,,,,,
Gezinssituatie,NL-CM:7.13.4,Geboortedatum,,groen: geen wijzigingen,NL-CM:7.13.4,Geboortedatum,,,,,,,,
Gezinssituatie,NL-CM:7.13.5,Inwonend,,oranje: minor change,NL-CM:7.13.5,Inwonend,,ZIB-697,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [224525003 Number in household] -> [107541000146102 Child lives at home],Medium,SCT DefinitionCode  [107541000146102 Child lives at home] -> [224525003 Number in household]
Gezinssituatie,NL-CM:7.13.6,ToelichtingGezinssituatie,,groen: geen wijzigingen,NL-CM:7.13.6,ToelichtingGezinssituatie,,,,,,,,
Gezinssituatie,NL-CM:7.13.7,BurgerlijkeStaat,,groen: geen wijzigingen,NL-CM:7.13.7,BurgerlijkeStaat,,,,,,,,
Gezinssituatie,NL-CM:7.13.8,Gezinssamenstelling,GezinssamenstellingCodelijst,oranje: minor change,NL-CM:7.13.8,Gezinssamenstelling,GezinssamenstellingCodelijst,ZIB-697,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [224118004 Number of offspring] -> [224130005 Household composition],Medium,SCT DefintionCode [425401001 Pain intensity rating scale] -> [blank]
Gezinssituatie,NL-CM:7.13.9,AantalKinderenInwonend,,oranje: minor change,NL-CM:7.13.9,AantalKinderenInwonend,,ZIB-697,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [55811000146107 Number of children living at home],Medium,SCT DefintionCode [371525003 Clinical procedure report] -> [blank]
Gezinssituatie,NL-CM:7.13.10,Zorgtaak,,groen: geen wijzigingen,NL-CM:7.13.10,Zorgtaak,,,,,,,,
Gezinssituatie,NL-CM:7.13.11,**concept toegevoegd in 2020**,,rood: major change,NL-CM:7.13.11,ToelichtingKind,,ZIB-767,Toelichtingsveld bij container 'Kind' aan zib Gezinssituatie toegevoegd. ,CONCEPT ADDITION,Low,,High,IF [blank]source->target ELSE [toon en stuur de inhoud van dit data item als vrije tekst naar een 2017 ontvanger]
