ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
GezinssituatieKind,NL-CM:7.16.1,GezinssituatieKind,,oranje: minor change,NL-CM:7.16.1,GezinssituatieKind,,ZIB-697,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [55801000146105 Finding of family details and household composition of child],Medium,SCT DefinitionCode  [55801000146105 Finding of family details and household composition of child] -> [blank]
GezinssituatieKind,NL-CM:7.16.2,GezinssamenstellingKind,GezinssamenstellingKindCodelijst,oranje: minor change,NL-CM:7.16.2,GezinssamenstellingKind,GezinssamenstellingKindCodelijst,ZIB-697,Codelijst aangepast,VALUESET CHANGES,Low,existing valueset [valuesetname] changed in [baseline 2020],Medium,existing valueset [valuesetname] changed in [baseline 2020]
GezinssituatieKind,NL-CM:7.16.3,OuderVerzorger::ContactPersoon,,groen: geen wijzigingen,NL-CM:7.16.3,OuderVerzorger::ContactPersoon,,,,,,,,
GezinssituatieKind,NL-CM:7.16.4,Kind,,groen: geen wijzigingen,NL-CM:7.16.4,Kind,,,,,,,,
GezinssituatieKind,NL-CM:7.16.5,Kind::Contactpersoon,,groen: geen wijzigingen,NL-CM:7.16.5,Kind::Contactpersoon,,,,,,,,
GezinssituatieKind,NL-CM:7.16.6,GeboortedatumKind,,groen: geen wijzigingen,NL-CM:7.16.6,GeboortedatumKind,,,,,,,,
GezinssituatieKind,NL-CM:7.16.7,AantalBroersEnZussen,,oranje: minor change,NL-CM:7.16.7,AantalBroersEnZussen,,ZIB-697,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [224095004 Number of siblings],Medium,SCT DefinitionCode  [224095004 Number of siblings] -> [blank]
GezinssituatieKind,NL-CM:7.16.8,BroerOfZus,,groen: geen wijzigingen,NL-CM:7.16.8,BroerOfZus,,,,,,,,
GezinssituatieKind,NL-CM:7.16.9,BroerOfZus::Contactpersoon,,groen: geen wijzigingen,NL-CM:7.16.9,BroerOfZus::Contactpersoon,,,,,,,,
GezinssituatieKind,NL-CM:7.16.10,GeboortedatumZusBroer,,groen: geen wijzigingen,NL-CM:7.16.10,GeboortedatumZusBroer,,,,,,,,
GezinssituatieKind,NL-CM:7.16.11,Toelichting,,groen: geen wijzigingen,NL-CM:7.16.11,Toelichting,,,,,,,,
