ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
MedicatieToediening2,NL-CM:9.13.20928,MedicatieToediening,,groen: geen wijzigingen,NL-CM:9.13.20928,MedicatieToediening,,,,,,,,
MedicatieToediening2,NL-CM:9.13.20929,ToedieningsProduct::FarmaceutischProduct,,oranje: minor change,NL-CM:9.13.20929,ToedieningsProduct::FarmaceutischProduct,,ZIB-911,In engelse vertaling overal Farmaceutical vervangen door Pharmaceutical (7X),CONCEPT NAME CHANGED (EN),low,source -> target,low,source -> target
MedicatieToediening2,NL-CM:9.13.21191,MedicatieToedieningStatus,MedicatieToedieningStatusCodelijst,groen: geen wijzigingen,NL-CM:9.13.21191,MedicatieToedieningStatus,MedicatieToedieningStatusCodelijst,,,,,,,
MedicatieToediening2,NL-CM:9.13.21193,ToedieningsDatumTijd,,groen: geen wijzigingen,NL-CM:9.13.21193,ToedieningsDatumTijd,,,,,,,,
MedicatieToediening2,NL-CM:9.13.21194,ToegediendeHoeveelheid,,oranje: minor change,NL-CM:9.13.21194,ToegediendeHoeveelheid,,ZIB-812,Kardinaliteit van element 'ToegediendeHoeveelheid'  gewijzigd van 1 naar 0..1,CARDINALITY CHANGES (1 to 0..1),low,,High,ALS [aantal<>1] DAN [doe iets] ANDERS source -> target
MedicatieToediening2,NL-CM:9.13.21195,Toedieningsweg,MedicatieToedieningToedieningswegCodelijst,groen: geen wijzigingen,NL-CM:9.13.21195,Toedieningsweg,MedicatieToedieningToedieningswegCodelijst,,,,,,,
MedicatieToediening2,NL-CM:9.13.21196,Toediener,,groen: geen wijzigingen,NL-CM:9.13.21196,Toediener,,,,,,,,
MedicatieToediening2,NL-CM:9.13.21337,Toelichting,,groen: geen wijzigingen,NL-CM:9.13.21337,Toelichting,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23159,Toedieningssnelheid::Bereik,,groen: geen wijzigingen,NL-CM:9.13.23159,Toedieningssnelheid::Bereik,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23166,MedicatieToedieningRedenVanAfwijken,MedicatieToedieningRedenVanAfwijkenCodelijst,groen: geen wijzigingen,NL-CM:9.13.23166,MedicatieToedieningRedenVanAfwijken,MedicatieToedieningRedenVanAfwijkenCodelijst,,,,,,,
MedicatieToediening2,NL-CM:9.13.23167,AfwijkendeToediening,,groen: geen wijzigingen,NL-CM:9.13.23167,AfwijkendeToediening,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23168,DubbeleControleUitgevoerd,,groen: geen wijzigingen,NL-CM:9.13.23168,DubbeleControleUitgevoerd,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23169,GerelateerdeAfspraak,,groen: geen wijzigingen,NL-CM:9.13.23169,GerelateerdeAfspraak,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23170,Medicatieafspraak,,groen: geen wijzigingen,NL-CM:9.13.23170,Medicatieafspraak,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23171,AfgesprokenDatumTijd,,groen: geen wijzigingen,NL-CM:9.13.23171,AfgesprokenDatumTijd,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23172,Zorgverlener,,groen: geen wijzigingen,NL-CM:9.13.23172,Zorgverlener,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23237,Toedieningsafspraak,,groen: geen wijzigingen,NL-CM:9.13.23237,Toedieningsafspraak,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23355,Mantelzorger::Contactpersoon,,groen: geen wijzigingen,NL-CM:9.13.23355,Mantelzorger::Contactpersoon,,,,,,,,
MedicatieToediening2,NL-CM:9.13.23380,Patiënt,,groen: geen wijzigingen,NL-CM:9.13.23380,Patiënt,,,,,,,,
