ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Medicatieafspraak,NL-CM:9.6.1030,Voorschrijver::Zorgverlener,,groen: geen wijzigingen,NL-CM:9.6.1030,Voorschrijver::Zorgverlener,,,,,,,,
Medicatieafspraak,NL-CM:9.6.19757,MedicatieafspraakDatumTijd,,groen: geen wijzigingen,NL-CM:9.6.19757,MedicatieafspraakDatumTijd,,,,,,,,
Medicatieafspraak,NL-CM:9.6.19925,Afgesprokengeneesmiddel::FarmaceutischProduct,,oranje: minor change,NL-CM:9.6.19925,Afgesprokengeneesmiddel::FarmaceutischProduct,,ZIB-911,In engelse vertaling overal Farmaceutical vervangen door Pharmaceutical (7X),CONCEPT NAME CHANGED (EN),low,CONCEPT NAME CHANGED (EN): AgreedMedicine::FarmaceuticalProduct -> AgreedMedicine::PharmaceuticalProduct ,low,CONCEPT NAME CHANGED (EN): AgreedMedicine::PharmaceuticalProduct -> AgreedMedicine::FarmaceuticalProduct
Medicatieafspraak,NL-CM:9.6.19936,Gebruiksperiode::TijdsInterval,,groen: geen wijzigingen,NL-CM:9.6.19936,Gebruiksperiode::TijdsInterval,,,,,,,,
Medicatieafspraak,NL-CM:9.6.19954,MedicatieafspraakStopType,MedicatieafspraakStopTypeCodelijst,oranje: minor change,NL-CM:9.6.19954,MedicatieafspraakStopType,MedicatieafspraakStopTypeCodelijst,ZIB-888,DCM::DefinitionCodes van de medicatie zibs gelijk getrokken aan de wijzigingen reeds doorgevoerd in MedicatieProces(MP). ,TERMINOLOGY MAPPING CONCEPT CHANGE ,low,SCT DefintionCode [blank] -> [274512008 Behandeling met geneesmiddel stopgezet],low,SCT DefintionCode [274512008 Behandeling met geneesmiddel stopgezet] -> [blank] 
Medicatieafspraak,NL-CM:9.6.22273,Toelichting,,groen: geen wijzigingen,NL-CM:9.6.22273,Toelichting,,,,,,,,
Medicatieafspraak,NL-CM:9.6.19954,MedicatieafspraakStopType,MedicatieafspraakStopTypeCodelijst,oranje: minor change,NL-CM:9.6.19954,MedicatieafspraakStopType,MedicatieafspraakStopTypeCodelijst,ZIB-888|ZIB-1454,"DefinitionCode toegevoegd aan concept
Erratum. SCT codes in codelijst zijn vervangen. Klopten niet mee. Uiteindelijke lijst heeft 2 items (met 2 deprecated)",VALUESET CHANGES,medium,"
VALUESET CHANGES",medium,"
VALUESET CHANGES"
Medicatieafspraak,NL-CM:9.6.23240,Gebruiksinstructie,,groen: geen wijzigingen,NL-CM:9.6.23240,Gebruiksinstructie,,,,,,,,
Medicatieafspraak,NL-CM:9.6.23283,MedicatieafspraakAanvullendeInformatie,MedicatieafspraakAanvullendeInformatieCodelijst,groen: geen wijzigingen,NL-CM:9.6.23283,MedicatieafspraakAanvullendeInformatie,MedicatieafspraakAanvullendeInformatieCodelijst,,,,,,,
Medicatieafspraak,NL-CM:9.6.22094,RedenMedicatieafspraak,RedenMedicatieafspraakCodelijst,oranje: minor change,NL-CM:9.6.22094,RedenMedicatieafspraak,RedenMedicatieafspraakCodelijst,ZIB-888,DefinitionCode toegevoegd aan concept,TERMINOLOGY MAPPING CONCEPT CHANGE ,low,SCT DefintionCode [blank] -> [112241000146101 Reden voor voorschrift],low,SCT DefintionCode [112241000146101 Reden voor voorschrift] -> [blank] 
Medicatieafspraak,NL-CM:9.6.23133,RedenVanVoorschrijven::Probleem,,oranje: minor change,NL-CM:9.6.23133,RedenVanVoorschrijven::Probleem,,ZIB-888,DefinitionCode toegevoegd aan concept,TERMINOLOGY MAPPING CONCEPT CHANGE ,low,SCT DefintionCode [blank] -> [112201000146104 Medische reden van voorschrijven],low,SCT DefintionCode [112201000146104 Medische reden van voorschrijven] -> [blank] 
Medicatieafspraak,NL-CM:9.6.9580,Medicatieafspraak,,oranje: minor change,NL-CM:9.6.9580,Medicatieafspraak,,ZIB-888,DefinitionCode toegevoegd aan rootconcept,TERMINOLOGY MAPPING CONCEPT CHANGE ,low,SCT DefintionCode [blank] -> [16076005 Voorschrijven],low,SCT DefintionCode [16076005 Voorschrijven] -> [blank] 
Medicatieafspraak,NL-CM:9.6.23023,Lichaamslengte,,rood: major change,,,,ZIB-1020,verwijzing naar zib lichaamslengte verwijderd,CONCEPT REMOVED,high,DELETED FIELD:  IF NL-CM:9.6.23023 <> [blank] THEN source -> target=[rootconcept lichaamslengte zib],low,
Medicatieafspraak,NL-CM:9.6.23028,Lichaamsgewicht,,rood: major change,,,,ZIB-1020,verwijzing naar zib lichaamsgewicht verwijderd,CONCEPT REMOVED,high,DELETED FIELD:  IF NL-CM:9.6.23028 <> [blank] THEN source -> target=[rootconcept lichaamsgewicht zib],low,
Medicatieafspraak,NL-CM:9.6.23033,GeannuleerdIndicator,,rood: major change,,,,ZIB-1021,geanuleerd indicator verwijderd,CONCEPT REMOVED,high,vgeanuleerde medicatieafspraken zijn conceptueel geen afspraken en bestaan ook niet als zodanig in publicatie 2020. Als translatie hiervoor nodig is zal er een non-zib data item moeten bestaan of worden aangemaakt in de dataset.,low,
