ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Patient,DCM::EvidenceBase,Evidence Base,,geel: patch wijziging,DCM::EvidenceBase,Evidence Base,,ZIB-647,Concept definitie en evidence base aangepast ,SIMPLE PATCH CHANGE,Low,,Low,
Patient,DCM::Concept,Concept,,geel: patch wijziging,DCM::Concept,Concept,,ZIB-647,Concept definitie en evidence base aangepast,SIMPLE PATCH CHANGE,Low,,Low,
Patient,NL-CM:0.1.1,Patient,,oranje: minor change,NL-CM:0.1.1,Patient,,ZIB-1189,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefintionCode [blank] -> [116154003 Patiënt],Medium,SCT DefintionCode [116154003 Patiënt] -> [blank]
Patient,NL-CM:0.1.4,AddressInformation,nl.zorg.part.Adresgegevens,groen: geen wijzigingen,NL-CM:0.1.4,AddressInformation,nl.zorg.part.Adresgegevens,,,,,,,
Patient,NL-CM:0.1.5,ContactInformation,nl.zorg.part.Contactgegevens,groen: geen wijzigingen,NL-CM:0.1.5,ContactInformation,nl.zorg.part.Contactgegevens,,,,,,,
Patient,NL-CM:0.1.6,NameInformation,nl.zorg.part.Naamgegevens,oranje: minor change,NL-CM:0.1.6,NameInformation,,ZIB-961,Kardinaliteit van het element Naamgegevens gewijzigd van 1 naar 0..1,CARDINALITY CHANGE,Low,ONE TO ZERO-TO-ONE ,Medium,ZERO-TO-ONE TO ONE
Patient,NL-CM:0.1.7,PatientIdentificationNumber,,groen: geen wijzigingen,NL-CM:0.1.7,PatientIdentificationNumber,,,,,,,,
Patient,NL-CM:0.1.9,Gender,,oranje: minor change,NL-CM:0.1.9,Gender,,ZIB-1029,Kardinaliteit Geslacht gewijzigd van 1 naar 0..1,CARDINALITY CHANGE,Low,ONE TO ZERO-TO-ONE,Medium,ZERO-TO-ONE TO ONE
Patient,NL-CM:0.1.10,DateOfBirth,,oranje: minor change,NL-CM:0.1.10,DateOfBirth,,ZIB-1029,Kardinaliteit Geboortedatum gewijzigd van 1 naar 0..1,CARDINALITY CHANGE,Low,ONE TO ZERO-TO-ONE,Medium,ZERO-TO-ONE TO ONE
Patient,NL-CM:0.1.31,MultipleBirthIndicator,,groen: geen wijzigingen,NL-CM:0.1.31,MultipleBirthIndicator,,,,,,,,
Patient,NL-CM:0.1.32,OverlijdensIndicator,,groen: geen wijzigingen,NL-CM:0.1.32,OverlijdensIndicator,,,,,,,,
Patient,NL-CM:0.1.33,DateOfDeath,,groen: geen wijzigingen,NL-CM:0.1.33,DateOfDeath,,,,,,,,
