ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Toedieningsafspraak,NL-CM:9.8.20132,Toedieningsafspraak,,oranje: minor change,NL-CM:9.8.20132,Toedieningsafspraak,,ZIB-989,Toevoeging SNOMED CT code aan rootconcept.,TERMINOLOGY MAPPING CONCEPT CHANGE,low,SCT DefintionCode [blank] -> [422037009 Instrueren door zorgverlener over toediening van medicatie],low,SCT DefintionCode [422037009 Instrueren door zorgverlener over toediening van medicatie] -> [blank]
Toedieningsafspraak,NL-CM:9.8.20133,ToedieningsafspraakDatumTijd,,groen: geen wijzigingen,NL-CM:9.8.20133,ToedieningsafspraakDatumTijd,,,,,,,,
Toedieningsafspraak,NL-CM:9.8.20237,GeneesmiddelBijToedieningsAfspraak::FarmaceutischProduct,,oranje: minor change,NL-CM:9.8.20237,GeneesmiddelBijToedieningsAfspraak::FarmaceutischProduct,,ZIB-911,In engelse vertaling overal Farmaceutical vervangen door Pharmaceutical (7X),CONCEPT NAME CHANGED (EN),low,CONCEPT NAME CHANGED (EN): _::FarmaceuticalProduct-> _::PharmaceuticalProduct ,low,CONCEPT NAME CHANGED (EN): _::PharmaceuticalProduct -> _::FarmaceuticalProduct
Toedieningsafspraak,NL-CM:9.8.22097,Verstrekker::Zorgaanbieder,,groen: geen wijzigingen,NL-CM:9.8.22097,Verstrekker::Zorgaanbieder,,,,,,,,
Toedieningsafspraak,NL-CM:9.8.22098,Gebruiksinstructie,,groen: geen wijzigingen,NL-CM:9.8.22098,Gebruiksinstructie,,,,,,,,
Toedieningsafspraak,NL-CM:9.8.22275,Toelichting,,groen: geen wijzigingen,NL-CM:9.8.22275,Toelichting,,,,,,,,
Toedieningsafspraak,NL-CM:9.8.22394,Medicatieafspraak,,groen: geen wijzigingen,NL-CM:9.8.22394,Medicatieafspraak,,,,,,,,
Toedieningsafspraak,NL-CM:9.8.22498,ToediengingsafspraakStopType,ToedieningsafspraakStopTypeCodelijst,oranje: minor change,NL-CM:9.8.22498,ToedieningsafspraakStopType,ToedieningsafspraakStopTypeCodelijst,ZIB-1006,Tekstuele aanpassing typefout: ToedieningsafspraakStopType ipv ToediengingsafspraakStopType,CONCEPT NAME CHANGED (NL),low,ToediengingsafspraakStopType->ToedieningsafspraakStopType,low,ToedieningsafspraakStopType->ToediengingsafspraakStopType
Toedieningsafspraak,NL-CM:9.8.22498,ToediengingsafspraakStopType,ToedieningsafspraakStopTypeCodelijst,oranje: minor change,NL-CM:9.8.22498,ToedieningsafspraakStopType,ToedieningsafspraakStopTypeCodelijst,ZIB-1454,De deprecated codes Drug therapy temporarily stopped en Drug therapy definitively stopped zijn vervangen door: 113371000146109 |definitief gestopt met medicatie en 113381000146106 |tijdelijk gestopt met medicatie.,VALUESET CHANGES,medium,,medium,
Toedieningsafspraak,NL-CM:9.8.22499,RedenAfspraak,,oranje: minor change,NL-CM:9.8.22499,RedenAfspraak,,ZIB-888,SNOMED coderingen met medicatieproces gelijk getrokken,TERMINOLOGY MAPPING CONCEPT CHANGE,low,SCT DefintionCode [blank] -> [112231000146109 Reden van toedieningsinstructies],low,SCT DefintionCode [112231000146109 Reden van toedieningsinstructies] -> [blank]
Toedieningsafspraak,NL-CM:9.8.22660,Gebruiksperiode::TijdsInterval,,groen: geen wijzigingen,NL-CM:9.8.22660,Gebruiksperiode::TijdsInterval,,,,,,,,
Toedieningsafspraak,NL-CM:9.8.23034,GeannuleerdIndicator,,groen: geen wijzigingen,NL-CM:9.8.23034,GeannuleerdIndicator,,,,,,,,
Toedieningsafspraak,NL-CM:9.8.23284,ToedieningsafspraakAanvullendeInformatie,ToedieningsafspraakAanvullendeInformatieCodelijst,groen: geen wijzigingen,NL-CM:9.8.23284,ToedieningsafspraakAanvullendeInformatie,ToedieningsafspraakAanvullendeInformatieCodelijst,,,,,,,
