ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
VerpleegkundigeInterventie,DCM::Concept,Concept,,geel: patch wijziging,DCM::Concept,Concept,,ZIB-728,Tekstwijziging defintie van concept. ,SIMPLE PATCH CHANGE,Low,,Low,
VerpleegkundigeInterventie,NL-CM:14.2.1,VerpleegkundigeInterventie,,groen: geen wijzigingen,NL-CM:14.2.1,VerpleegkundigeInterventie,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.2,Interventie,InterventieNICCodelijst ; InterventieSnomedCodelijst,oranje: minor change,NL-CM:14.2.2,Interventie,InterventieSnomedCodelijst,ZIB-728 ; ZIB-1252,beschrijving concept aangepast en NIC codelijst is vervallen,VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
VerpleegkundigeInterventie,NL-CM:14.2.3,Interval,,groen: geen wijzigingen,NL-CM:14.2.3,Interval,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.4,Frequentie,,groen: geen wijzigingen,NL-CM:14.2.4,Frequentie,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.5,Toelichting,,groen: geen wijzigingen,NL-CM:14.2.5,Toelichting,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.6,Indicatie::Probleem,,groen: geen wijzigingen,NL-CM:14.2.6,Indicatie::Probleem,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.7,Zorgverlener,,groen: geen wijzigingen,NL-CM:14.2.7,Zorgverlener,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.8,Aanvrager::Zorgverlener,,groen: geen wijzigingen,NL-CM:14.2.8,Aanvrager::Zorgverlener,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.9,VerpleegkundigeActie,,rood: major change,NL-CM:14.2.9,**concept verwijderd in 2020**,,ZIB-728,Het tussenliggende VerpleegkundigeActie niveau (container) met bijbehorende omschrijving (Activiteit) is verwijderd en alle overige data-elementen die aan VerpleegkundigeActie verbonden waren zijn nu direct gekoppeld aan het rootconcept VerpleegkundigeInterventie. ,CONCEPT REMOVED,High,IF [blank]source->target ELSE [toon en stuur de inhoud van dit data item als vrije tekst naar een 2020 ontvanger],Low,
VerpleegkundigeInterventie,NL-CM:14.2.10,Activiteit,,rood: major change,NL-CM:14.2.10,**concept verwijderd in 2020**,,ZIB-728,Het tussenliggende VerpleegkundigeActie niveau (container) met bijbehorende omschrijving (Activiteit) is verwijderd en alle overige data-elementen die aan VerpleegkundigeActie verbonden waren zijn nu direct gekoppeld aan het rootconcept VerpleegkundigeInterventie. ,CONCEPT REMOVED,High,IF [blank]source->target ELSE [toon en stuur de inhoud van dit data item als vrije tekst naar een 2020 ontvanger],Low,
VerpleegkundigeInterventie,NL-CM:14.2.11,ActieStartDatumTijd,,oranje: minor change,NL-CM:14.2.11,ActieStartDatumTijd,,ZIB-821,datum in toekomst nu toegestaan,DATETIME IN FUTURE ALLOWED,Low,,Medium,IF [datetime]> TODAY> remove check for dates in future on 2017 zib
VerpleegkundigeInterventie,NL-CM:14.2.12,ActieEindDatumTijd,,oranje: minor change,NL-CM:14.2.12,ActieEindDatumTijd,,ZIB-821,datum in toekomst nu toegestaan,DATETIME IN FUTURE ALLOWED,Low,,Medium,IF [datetime]> TODAY> remove check for dates in future on 2017 zib
VerpleegkundigeInterventie,NL-CM:14.2.13,MedischHulpmiddel,,groen: geen wijzigingen,NL-CM:14.2.13,MedischHulpmiddel,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.14,Behandeldoel,,groen: geen wijzigingen,NL-CM:14.2.14,Behandeldoel,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.15,Uitvoerder,,groen: geen wijzigingen,NL-CM:14.2.15,Uitvoerder,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.16,Verzorger::ContactPersoon,,groen: geen wijzigingen,NL-CM:14.2.16,Verzorger::ContactPersoon,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.17,Patient,,groen: geen wijzigingen,NL-CM:14.2.17,Patient,,,,,,,,
VerpleegkundigeInterventie,NL-CM:14.2.18,Instructie,,groen: geen wijzigingen,NL-CM:14.2.18,Instructie,,,,,,,,
