ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
VoedingspatroonZuigeling,NL-CM:4.31.1,VoedingspatroonZuigeling,,oranje: minor change,NL-CM:4.31.1,VoedingspatroonZuigeling,,ZIB-921,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,"SCT DefinitionCode [blank] -> [
289145007 Bevinding betreffende voedingspatroon van zuigeling]",Medium,SCT DefinitionCode  [289145007 Bevinding betreffende voedingspatroon van zuigeling]-> [blank]
VoedingspatroonZuigeling,NL-CM:4.31.2,Voeding,,oranje: minor change,NL-CM:4.31.2,Voeding,,ZIB-921,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [230126006 Bevinding betreffende voeden van zuigeling],Medium,SCT DefinitionCode  [230126006 Bevinding betreffende voeden van zuigeling]-> [blank]
VoedingspatroonZuigeling,NL-CM:4.31.3,VoedingSoort,VoedingSoortCodelijst,oranje: minor change,NL-CM:4.31.3,VoedingSoort,VoedingSoortCodelijst,ZIB-933,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [109021000146107 Infant food type],Medium,SCT DefinitionCode  [109021000146107 Infant food type]-> [blank]
VoedingspatroonZuigeling,NL-CM:4.31.3,VoedingSoort,VoedingSoortCodelijst,oranje: minor change,NL-CM:4.31.3,VoedingSoort,VoedingSoortCodelijst,ZIB-933,Codelijst aangepast,VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Low,valuesets 2017 <- valueset 2020 regel
VoedingspatroonZuigeling,NL-CM:4.31.4,VoedingMethode,VoedingMethodeCodelijst,oranje: minor change,NL-CM:4.31.4,VoedingMethode,VoedingMethodeCodelijst,ZIB-933,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [169740003 Wijze van voeden van zuigeling],Medium,SCT DefinitionCode  [169740003 Wijze van voeden van zuigeling]-> [blank]
VoedingspatroonZuigeling,NL-CM:4.31.5,VoedingFrequentie,,groen: geen wijzigingen,NL-CM:4.31.5,VoedingFrequentie,,,,,,,,
VoedingspatroonZuigeling,NL-CM:4.31.6,VoedingspatroonZuigelingDatumTijd,,groen: geen wijzigingen,NL-CM:4.31.6,VoedingspatroonZuigelingDatumTijd,,,,,,,,
VoedingspatroonZuigeling,NL-CM:4.31.7,VoedingToevoeging,,oranje: minor change,NL-CM:4.31.7,VoedingToevoeging,,ZIB-933,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [373453009 Nutritional supplement],Medium,SCT DefinitionCode  [373453009 Nutritional supplement]-> [blank]
VoedingspatroonZuigeling,NL-CM:4.31.8,Toelichting,,groen: geen wijzigingen,NL-CM:4.31.8,Toelichting,,,,,,,,
VoedingspatroonZuigeling,NL-CM:4.31.9,Voedingsadvies,,oranje: minor change,NL-CM:4.31.9,Voedingsadvies,,ZIB-933,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefinitionCode [blank] -> [386461003 Voorlichten over zuigelingenvoeding],Medium,SCT DefinitionCode  [386461003 Voorlichten over zuigelingenvoeding]-> [blank]
