ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Wond,NL-CM:19.2.1,Wond,,groen: geen wijzigingen,NL-CM:19.2.1,Wond,,,,,,,,
Wond,NL-CM:19.2.2,WondOntstaansdatum,,groen: geen wijzigingen,NL-CM:19.2.2,WondOntstaansdatum,,,,,,,,
Wond,NL-CM:19.2.3,DatumLaatsteVerbandwissel,,groen: geen wijzigingen,NL-CM:19.2.3,DatumLaatsteVerbandwissel,,,,,,,,
Wond,NL-CM:10.1.3,ProductType,WondDrainTypeCodelijst,groen: geen wijzigingen,NL-CM:10.1.3,ProductType,WondDrainTypeCodelijst,,,,,,,
Wond,NL-CM:19.2.4,WondWeefsel,WondWeefselOncoUlcerCodelijst; WondWeefselWCSCodelijst,groen: geen wijzigingen,NL-CM:19.2.4,WondWeefsel,WondWeefselOncoUlcerCodelijst ; WondWeefselWCSCodelijst,,,,,,,
Wond,NL-CM:19.2.5,WondSoort,WondSoortCodelijst,groen: geen wijzigingen,NL-CM:19.2.5,WondSoort,WondSoortCodelijst,,,,,,,
Wond,NL-CM:19.2.6,WondVochtigheid,WondVochtigheidCodelijst,groen: geen wijzigingen,NL-CM:19.2.6,WondVochtigheid,WondVochtigheidCodelijst,,,,,,,
Wond,NL-CM:19.2.7,WondInfectie,,groen: geen wijzigingen,NL-CM:19.2.7,WondInfectie,,,,,,,,
Wond,NL-CM:19.2.8,AnatomischeLocatie,WondAnatomischeLocatieCodelijst,oranje: minor change,NL-CM:19.2.19,AnatomischeLocatie,LocatieCodelijst,ZIB-1116,nieuwe verwijzing naar sub-bouwsteen anatomischeLocatie,CHANGE TO SUB HCIM,Medium,codelist [WondAnatomischeLocatieCodelijst]->[LocatieCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.1--20200901000000)],Medium,codelist [LocatieCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.1--20200901000000)]->[WondAnatomischeLocatieCodelijst]
Wond,NL-CM:19.2.9,Toelichting,,groen: geen wijzigingen,NL-CM:19.2.9,Toelichting,,,,,,,,
Wond,NL-CM:19.2.11,WondRand,WondRandCodelijst,groen: geen wijzigingen,NL-CM:19.2.11,WondRand,WondRandCodelijst,,,,,,,
Wond,NL-CM:19.2.12,Wondlengte,,oranje: minor change,NL-CM:19.2.12,Wondlengte,,ZIB-903,SNOMED CT en LOINC DefintionCodes concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefintionCode [401238003 Length of wound] -> [blank];LOINC DefinitionCode [blank] -> [39126-8 Duur [lengte] in wond],Medium,SCT DefintionCode [blank] -> [401238003 Length of wound];[@[TRANSLATIE_specificatie_2020>2017]]
Wond,NL-CM:19.2.13,Wondbreedte,,oranje: minor change,NL-CM:19.2.13,Wondbreedte,,ZIB-903,SNOMED CT en LOINC DefintionCodes concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefintionCode [401239006 Width of wound] -> [blank];LOINC DefinitionCode [blank] -> [39125-0 Breedte [lengte] in wond],Medium,SCT DefintionCode [blank] -> [401239006 Width of wound];[@[TRANSLATIE_specificatie_2020>2017]]
Wond,NL-CM:19.2.14,Wonddiepte,,oranje: minor change,NL-CM:19.2.14,Wonddiepte,,ZIB-903,SNOMED CT en LOINC DefintionCodes concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefintionCode [425094009 Depth of wound] -> [blank];LOINC DefinitionCode [blank] -> [39127-6 Diepte [lengte] in wond],Medium,SCT DefintionCode [blank] -> [425094009 Depth of wound];[@[TRANSLATIE_specificatie_2020>2017]]
Wond,NL-CM:19.2.15,WondFoto,,groen: geen wijzigingen,NL-CM:19.2.15,WondFoto,,,,,,,,
Wond,NL-CM:19.2.17,Drain::MedischHulpmiddel,,groen: geen wijzigingen,NL-CM:19.2.17,Drain::MedischHulpmiddel,,,,,,,,
Wond,NL-CM:19.2.18,Lateraliteit,WondLateraliteitCodelijst,oranje: minor change,NL-CM:19.2.19,AnatomischeLocatie,LateraliteitCodelijst,ZIB-1116,nieuwe verwijzing naar sub-bouwsteen anatomischeLocatie,CHANGE TO SUB HCIM,Medium,codelist [WondLateraliteitCodelijst]->[LateraliteitCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.2--20200901000000)],Medium,codelist [LateraliteitCodelijst (http://decor.nictiz.nl/fhir/ValueSet/2.16.840.1.113883.2.4.3.11.60.40.2.20.7.2--20200901000000)]->[WondLateraliteitCodelijst]
