ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Zorgaanbieder,NL-CM:17.2.1,Zorgaanbieder,,oranje: minor change,NL-CM:17.2.1,Zorgaanbieder,,ZIB-1189,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefintionCode  [blank] -> [257622000 Zorginstelling],Medium,SCT DefintionCode  [257622000 Zorginstelling] -> [blank]
Zorgaanbieder,NL-CM:17.2.2,ZorgaanbiederIdentificatienummer,,groen: geen wijzigingen,NL-CM:17.2.2,ZorgaanbiederIdentificatienummer,,,,,,,,
Zorgaanbieder,NL-CM:17.2.3,OrganisatieNaam,,groen: geen wijzigingen,NL-CM:17.2.3,OrganisatieNaam,,,,,,,,
Zorgaanbieder,NL-CM:17.2.4,OrganisatieType,OrganisatieTypeCodelijst,oranje: minor change,NL-CM:17.2.4,OrganisatieType,OrganisatieTypeCodelijst,ZIB-678 ; ZIB-1171,Toevoegingen aan codeijst,VALUESET CHANGES,Low,existing valueset [valuesetname] changed in [baseline 2020],Medium,existing valueset [valuesetname] changed in [baseline 2020]
Zorgaanbieder,NL-CM:17.2.5,Adresgegevens,,rood: major change,NL-CM:17.2.5,Adresgegevens,,ZIB-960,"Cardinaliteit adresgegevens in de zib's Zorgverlener, Zorgaanbieder en Contactpersoon verruimt van 0..1 naar 0..*",CARDINALITY CHANGES (0..1 to 0..*),Low,,High,ALS [aantal>1] DAN [doe iets] ANDERS source -> target
Zorgaanbieder,NL-CM:17.2.6,Contactgegevens,,groen: geen wijzigingen,NL-CM:17.2.6,Contactgegevens,,,,,,,,
Zorgaanbieder,NL-CM:17.2.7,AfdelingSpecialisme,AfdelingSpecialismeCodelijst,groen: geen wijzigingen,NL-CM:17.2.7,AfdelingSpecialisme,AfdelingSpecialismeCodelijst,,,,,,,
Zorgaanbieder,NL-CM:17.2.8,OrganisatieLocatie,,oranje: minor change,NL-CM:17.2.8,LocatieNaam,,ZIB-894,OrganisatieLocatie is hernoemd naar LocatieNaam. OrganisatieLocatie is in 2020 een NIEUWE container (NL-CM:17.2.9),CONCEPT NAME CHANGED (NL),Low,source -> target,Low,source -> target
Zorgaanbieder,NL-CM:17.2.9,**concept toegevoegd in 2020**,,rood: major change,NL-CM:17.2.9,OrganisatieLocatie,,ZIB-894,nieuwe container voor elementen LocatieNaam en LocatieNummer,CONCEPT ADDITION,Low,,High,IF source <> [blank] THEN source -> target=[non-zib item]
Zorgaanbieder,NL-CM:17.2.10,**concept toegevoegd in 2020**,,rood: major change,NL-CM:17.2.10,LocatieNummer,,ZIB-894,Nieuw element LocatieNummer,CONCEPT ADDITION,Low,,High,IF source <> [blank] THEN source -> target=[non-zib item]
