ZibName,ConceptID_2017,ConceptName_2017,Codelists_2017,Change,ConceptID_2020,ConceptName_2020,Codelists_2020,Bits,Omschrijving,TypeChange,Impact_heen,TRANSLATIE_spec_heen,Impact_terug,TRANSLATIE_spec_terug
Zorgverlener,DCM::EvidenceBase,Evidence Base,,geel: patch wijziging,DCM::EvidenceBase,Evidence Base,,ZIB-899,Tekstwijziging defintie van concept. ,SIMPLE PATCH CHANGE,Low,,Low,
Zorgverlener,NL-CM:17.1.1,Zorgverlener,,oranje: minor change,NL-CM:17.1.1,Zorgverlener,,ZIB-1189,SNOMED CT DefintionCode concept aangepast,TERMINOLOGY MAPPING CONCEPT CHANGE ,Medium,SCT DefintionCode [blank] -> [223366009 Gezondheidszorgpersoneel],Medium,SCT DefintionCode [223366009 Gezondheidszorgpersoneel] -> [blank]
Zorgverlener,NL-CM:17.1.2,ZorgverlenerIdentificatienummer,,geel: patch wijziging,NL-CM:17.1.2,ZorgverlenerIdentificatienummer,,ZIB-899,Tekstwijziging defintie van concept. ,SIMPLE PATCH CHANGE,Low,,Low,
Zorgverlener,NL-CM:17.1.3,Naamgegevens,,groen: geen wijzigingen,NL-CM:17.1.3,Interventie,,,,NO CHANGE,,,,
Zorgverlener,NL-CM:17.1.4,Specialisme,,groen: geen wijzigingen,NL-CM:17.1.4,Specialisme,,,,NO CHANGE,,,,
Zorgverlener,NL-CM:17.1.5,ZorgverlenerRol,,oranje: minor change,NL-CM:17.1.5,ZorgverlenerRol,,ZIB-704,Naam van het dataelement ZorgverlenersRol is gewijzigd in ZorgverlenerRol,CONCEPT NAME CHANGED (NL),Medium,ZorgverlenersRol->ZorgverlenerRol,Medium,ZorgverlenerRol->ZorgverlenersRol
Zorgverlener,NL-CM:17.1.5,ZorgverlenerRol,,oranje: minor change,NL-CM:17.1.5,ZorgverlenerRol,,ZIB-759,Codelijst is uitgebreid met rol 'casemanager' ,VALUESET CHANGES,Low,valuesets 2017 -> valueset 2020 regel,Medium,valuesets 2017 <- valueset 2020 regel
Zorgverlener,NL-CM:17.1.6,Zorgaanbieder,,groen: geen wijzigingen,NL-CM:17.1.6,Zorgaanbieder,,,,NO CHANGE,,,,
Zorgverlener,NL-CM:17.1.7,Adresgegevens,,rood: major change,NL-CM:17.1.7,Adresgegevens,,ZIB-960,"Cardinaliteit adresgegevens in de zib's Zorgverlener, Zorgaanbieder en Contactpersoon verruimt van 0..1 naar 0..*",CARDINALITY CHANGE,Low,ZERO-TO-ONE TO ZERO-TO-MANY,High,ZERO-TO-MANY TO ZERO-TO-ONE
Zorgverlener,NL-CM:17.1.8,Contactgegevens,,rood: major change,NL-CM:17.1.8,Contactgegevens,,ZIB-952,"Kardinaliteit element Contactgegevens gewijzigd van 0..*, naar 0..1",CARDINALITY CHANGE,High,ZERO-TO-MANY TO ZERO-TO-ONE,Low,ZERO-TO-ONE TO ZERO-TO-MANY
Zorgverlener,NL-CM:17.1.9,**concept toegevoegd in 2020**,,rood: major change,NL-CM:17.1.9,Geslacht,,ZIB-1142,Element Geslacht toegevoegd aan de zib Zorgverlener met een waardelijst die overeenkomt met de Geslachtcodeljst van de zib Patiënt.,CONCEPT ADDITION,Low,,High,IF [blank]source->target ELSE [toon en stuur de inhoud van dit data item als vrije tekst naar een 2017 ontvanger]
